Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,season
Solomon Bonnah,NED,DF,RB Leipzig,Bundesliga,18,2003,1,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,100.0,920.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,20.0,20.0,0.0,0.0,70.0,0.0,10.0,20.0,40.0,0.0,70.0,,,,,,40.0,120.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-2022
Leonardo Bonucci,ITA,DF,Juventus,Serie A,35,1987,24,22,2005,22.3,0.22,0.63,0.13,21.4,0.14,0.67,9.5,0.0,0.13,0.13,49.6,57.4,86.5,1269.0,458.7,0.0,0.22,3.45,0.18,0.0,2.91,0.63,0.58,0.0,0.0,0.04,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.72,0.31,0.27,0.45,0.0,1.7,0.85,0.85,1.57,2.29,3.95,0.04,66.3,14.3,38.3,28.9,1.84,0.99,62.3,,,,,,38.0,158.7,77.5,0.81,0.04,0.0,0.04,0.09,46.4,0.0,0.04,0.0,0.0,0.9,0.4,0.04,0.09,0.31,0.0,0.04,0.0,7.26,2.02,1.79,52.9,2021-2022
Sebastiaan Bornauw,BEL,DF,Wolfsburg,Bundesliga,23,1999,27,23,2007,22.3,0.04,0.58,0.18,30.8,0.08,0.25,9.8,0.0,0.0,0.0,45.0,52.2,86.3,1043.3,292.2,0.0,0.18,1.3,0.0,0.0,1.08,0.18,0.13,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.99,0.94,0.49,0.0,1.88,0.4,1.48,1.97,3.41,4.57,0.0,62.3,9.51,38.7,24.4,1.26,1.12,60.7,,,,,,36.9,152.0,53.4,0.63,0.04,0.0,0.09,0.18,40.4,0.18,0.18,0.0,0.0,1.12,0.27,0.09,0.09,0.99,0.0,0.04,0.0,9.01,3.77,2.33,61.8,2021-2022
Rafael Borr�,COL,FW,Eint Frankfurt,Bundesliga,26,1995,31,28,2378,26.4,0.3,1.93,0.91,47.1,0.16,0.33,13.5,0.0,0.0,0.0,19.6,26.9,72.9,304.4,55.0,0.15,1.02,1.29,0.95,0.08,1.55,2.39,1.63,0.0,0.23,0.27,0.23,0.04,0.38,0.23,0.0,0.08,0.04,0.04,0.0,1.29,1.02,0.27,0.53,0.49,1.06,0.15,0.91,0.23,1.52,0.38,0.0,39.2,0.38,2.69,19.4,19.3,4.77,37.3,,,,,,25.8,112.5,49.4,2.73,1.02,0.61,3.07,1.82,28.3,8.22,0.19,0.0,0.0,1.78,1.1,0.64,1.1,1.02,0.0,0.0,0.0,4.32,2.31,5.57,29.3,2021-2022
Sven Botman,NED,DF,Lille,Ligue 1,22,2000,25,25,2250,25.0,0.12,0.6,0.2,33.3,0.2,0.6,9.4,0.0,0.0,0.0,53.2,59.7,89.1,1143.6,383.2,0.04,0.28,2.84,0.08,0.0,2.88,0.56,0.52,0.0,0.04,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,1.44,1.0,0.88,0.56,0.0,2.16,0.88,1.28,1.52,2.96,4.8,0.04,70.1,10.6,37.7,34.1,1.6,0.92,68.3,,,,,,43.3,212.5,111.4,2.44,0.2,0.0,0.24,0.04,48.4,0.0,0.16,0.0,0.0,0.76,0.44,0.04,0.0,1.0,0.0,0.08,0.0,8.24,2.96,1.08,73.3,2021-2022
Denis Bouanga,GAB,FWMF,Saint-�tienne,Ligue 1,27,1994,34,28,2436,27.1,0.33,3.14,1.18,37.6,0.11,0.28,19.1,0.15,0.0,0.0,20.4,29.6,69.2,354.5,95.4,0.22,1.25,1.33,0.77,0.3,2.21,3.14,1.66,0.3,0.66,0.26,0.11,0.15,0.37,0.15,0.11,0.04,0.04,0.0,0.04,1.85,1.11,0.55,0.63,0.66,1.25,0.0,1.25,0.48,2.32,1.29,0.04,48.8,1.96,7.56,21.9,23.3,5.76,46.3,,,,,,33.9,174.9,110.0,5.31,1.48,1.7,4.02,2.77,32.8,7.56,0.15,0.04,0.0,2.03,1.88,0.15,2.21,1.11,0.0,0.0,0.0,7.31,2.58,3.17,44.9,2021-2022
Hicham Boudaoui,ALG,MF,Nice,Ligue 1,22,1999,29,21,1621,18.0,0.17,0.89,0.28,31.3,0.19,0.6,18.0,0.0,0.0,0.0,28.0,36.8,76.1,425.1,93.6,0.11,0.83,1.94,0.89,0.44,2.17,1.72,1.39,0.0,0.06,0.11,0.11,0.06,0.28,0.22,0.0,0.06,0.0,0.0,0.0,1.89,1.17,1.0,0.5,0.39,1.67,0.22,1.44,1.72,3.61,0.89,0.0,49.5,1.67,8.78,26.7,17.7,2.28,48.9,,,,,,35.5,180.7,83.7,4.11,1.5,0.39,1.56,2.17,34.4,4.5,0.39,0.0,0.0,1.72,1.33,0.22,2.33,1.17,0.0,0.0,0.0,7.11,0.89,0.83,51.6,2021-2022
Ryad Boudebouz,ALG,MFFW,Saint-�tienne,Ligue 1,32,1990,30,27,2252,25.0,0.12,1.08,0.36,33.3,0.07,0.22,23.4,0.28,0.04,0.04,48.9,62.1,78.7,953.4,231.7,0.16,2.0,4.4,1.2,0.16,4.96,3.6,2.8,0.48,0.08,0.08,0.08,0.08,0.24,0.2,0.0,0.0,0.04,0.0,0.0,1.16,0.76,0.32,0.56,0.28,0.92,0.08,0.84,0.72,1.88,0.48,0.04,71.4,1.8,12.1,41.1,23.4,1.52,65.2,,,,,,50.5,252.8,148.2,6.48,2.4,0.16,1.52,2.0,53.5,4.68,0.08,0.0,0.0,0.64,1.28,0.0,2.0,0.76,0.0,0.0,0.0,7.6,0.56,2.48,18.4,2021-2022
Sofiane Boufal,MAR,FWMF,Angers,Ligue 1,28,1993,29,28,2330,25.9,0.31,2.39,0.93,38.7,0.08,0.21,22.2,0.39,0.12,0.12,29.9,39.5,75.8,522.5,155.9,0.15,2.24,2.32,1.39,0.15,3.82,4.79,2.28,1.16,0.62,0.12,0.42,0.19,0.58,0.23,0.12,0.04,0.08,0.12,0.0,1.85,1.27,0.62,0.81,0.42,0.97,0.08,0.89,0.35,2.2,0.15,0.0,58.1,0.35,4.05,30.8,28.1,4.83,52.8,,,,,,45.3,232.0,144.5,8.19,2.51,1.27,3.17,3.9,43.6,7.07,0.23,0.0,0.0,1.89,3.17,0.54,2.01,1.27,0.08,0.0,0.0,4.71,0.46,1.81,20.3,2021-2022
Farid Boulaya,ALG,MFFW,Metz,Ligue 1,29,1993,24,18,1526,17.0,0.24,1.12,0.35,31.6,0.21,0.67,23.9,0.35,0.0,0.0,28.8,43.4,66.4,588.1,179.2,0.12,1.88,3.18,0.88,0.29,3.18,2.71,1.65,0.82,0.06,0.06,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.94,0.53,0.35,0.41,0.18,1.29,0.12,1.18,1.24,2.18,0.12,0.0,52.9,0.53,7.82,30.6,19.5,1.65,47.8,,,,,,36.8,242.1,124.6,6.18,2.47,0.76,1.41,2.06,36.6,3.71,0.06,0.06,0.0,0.41,1.12,0.06,2.24,0.53,0.0,0.0,0.0,6.82,0.65,1.18,35.5,2021-2022
